original,checked,lemma,path,dictionary
besouro,besouro,besouro,['./datasets/spread_the_sign/videos/besouro.mp4'],SpreadTheSign
década,década,décar,['./datasets/spread_the_sign/videos/década.mp4'],SpreadTheSign
cenário,cenário,cenário,['./datasets/spread_the_sign/videos/cenário.mp4'],SpreadTheSign
conservatório de plantas,conservatório de plantas,conservatório,['./datasets/spread_the_sign/videos/conservatório de plantas.mp4'],SpreadTheSign
raio x,raio x,raiar,['./datasets/spread_the_sign/videos/Raio-x.mp4'],SpreadTheSign
casal,casal,casal,['./datasets/spread_the_sign/videos/Casal.mp4'],SpreadTheSign
autópsia,autópsia,autópsiar,['./datasets/spread_the_sign/videos/autópsia.mp4'],SpreadTheSign
inteiro,inteiro,inteiro,['./datasets/spread_the_sign/videos/inteiro.mp4'],SpreadTheSign
município de residência,município de residência,município,['./datasets/spread_the_sign/videos/município de residência.mp4'],SpreadTheSign
obediente,obediente,obediente,['./datasets/spread_the_sign/videos/obediente.mp4'],SpreadTheSign
terapeuta,terapeuta,terapeuta,['./datasets/spread_the_sign/videos/terapeuta.mp4'],SpreadTheSign
centro,centro,Centro,['./datasets/spread_the_sign/videos/centro.mp4'],SpreadTheSign
achar,achar,achar,['./datasets/spread_the_sign/videos/achar.mp4'],SpreadTheSign
bancada de carpinteiro,bancada de carpinteiro,bancada,['./datasets/spread_the_sign/videos/bancada de carpinteiro.mp4'],SpreadTheSign
fotossíntese,fotossíntese,fotossíntese,['./datasets/spread_the_sign/videos/fotossíntese.mp4'],SpreadTheSign
venenoso,venenoso,venenoso,['./datasets/spread_the_sign/videos/venenoso.mp4'],SpreadTheSign
ajustar,ajustar,ajustar,['./datasets/spread_the_sign/videos/ajustar.mp4'],SpreadTheSign
café,café,café,['./datasets/spread_the_sign/videos/Café.mp4'],SpreadTheSign
massagem,massagem,massagem,['./datasets/spread_the_sign/videos/massagem.mp4'],SpreadTheSign
rua,rua,rua,['./datasets/spread_the_sign/videos/rua.mp4'],SpreadTheSign
sincero,sincero,sincero,['./datasets/spread_the_sign/videos/sincero.mp4'],SpreadTheSign
responsabilidade,responsabilidade,responsabilidade,['./datasets/spread_the_sign/videos/responsabilidade.mp4'],SpreadTheSign
formação acadêmica continuada,formação acadêmica continuada,formação,['./datasets/spread_the_sign/videos/formação acadêmica continuada.mp4'],SpreadTheSign
primeiro plano,primeiro plano,primeiro,['./datasets/spread_the_sign/videos/primeiro plano.mp4'],SpreadTheSign
30,30,30,['./datasets/spread_the_sign/videos/30.mp4'],SpreadTheSign
batata assada,batata assada,batata,['./datasets/spread_the_sign/videos/batata assada.mp4'],SpreadTheSign
exportação,exportação,exportação,['./datasets/spread_the_sign/videos/exportação.mp4'],SpreadTheSign
aulas,aulas,aula,['./datasets/spread_the_sign/videos/aulas.mp4'],SpreadTheSign
de repente,de repente,de,['./datasets/spread_the_sign/videos/de repente.mp4'],SpreadTheSign
pedestre,pedestre,pedestre,['./datasets/spread_the_sign/videos/pedestre.mp4'],SpreadTheSign
cacau,cacau,cacau,['./datasets/spread_the_sign/videos/Cacau.mp4'],SpreadTheSign
marrom,marrom,marrom,['./datasets/spread_the_sign/videos/marrom.mp4'],SpreadTheSign
endereço eletrónico,endereço eletrónico,endereço,['./datasets/spread_the_sign/videos/endereço eletrónico.mp4'],SpreadTheSign
bola,bola,bolo,['./datasets/spread_the_sign/videos/bola.mp4'],SpreadTheSign
exceder,exceder,exceder,['./datasets/spread_the_sign/videos/exceder.mp4'],SpreadTheSign
fita adesiva,fita adesiva,fita,['./datasets/spread_the_sign/videos/Fita Adesiva.mp4'],SpreadTheSign
tv cabo,tv cabo,tv,['./datasets/spread_the_sign/videos/tv cabo.mp4'],SpreadTheSign
cavar com enxada,cavar com enxada,cavar,['./datasets/spread_the_sign/videos/cavar com enxada.mp4'],SpreadTheSign
tigre,tigre,tigre,['./datasets/spread_the_sign/videos/tigre.mp4'],SpreadTheSign
céu,céu,céu,['./datasets/spread_the_sign/videos/céu.mp4'],SpreadTheSign
diagnóstico,diagnóstico,diagnóstico,['./datasets/spread_the_sign/videos/diagnóstico.mp4'],SpreadTheSign
coluna,coluna,coluna,['./datasets/spread_the_sign/videos/coluna.mp4'],SpreadTheSign
estacionamento de visitante,estacionamento de visitante,estacionamento,['./datasets/spread_the_sign/videos/Estacionamento de visitante.mp4'],SpreadTheSign
atendedor de chamadas,atendedor de chamadas,atendedor,['./datasets/spread_the_sign/videos/atendedor de chamadas.mp4'],SpreadTheSign
fralda,fralda,fralda,['./datasets/spread_the_sign/videos/fralda.mp4'],SpreadTheSign
distribuir,distribuir,distribuir,['./datasets/spread_the_sign/videos/distribuir.mp4'],SpreadTheSign
banheira,banheira,Banheira,['./datasets/spread_the_sign/videos/Banheira.mp4'],SpreadTheSign
seguro de saúde,seguro de saúde,seguro,['./datasets/spread_the_sign/videos/seguro de saúde.mp4'],SpreadTheSign
às vezes,às vezes,a o,['./datasets/spread_the_sign/videos/às vezes.mp4'],SpreadTheSign
presunto,presunto,presunto,['./datasets/spread_the_sign/videos/presunto.mp4'],SpreadTheSign
técnico de saúde,técnico de saúde,técnico,['./datasets/spread_the_sign/videos/técnico de saúde.mp4'],SpreadTheSign
migração,migração,migração,['./datasets/spread_the_sign/videos/migração.mp4'],SpreadTheSign
esmalte,esmalte,esmalte,['./datasets/spread_the_sign/videos/esmalte.mp4'],SpreadTheSign
tela,tela,tela,['./datasets/spread_the_sign/videos/tela.mp4'],SpreadTheSign
barra fixa,barra fixa,barra,['./datasets/spread_the_sign/videos/Barra fixa.mp4'],SpreadTheSign
expor,expor,expor,['./datasets/spread_the_sign/videos/expor.mp4'],SpreadTheSign
apoio domiciliário,apoio domiciliário,apoio,['./datasets/spread_the_sign/videos/apoio domiciliário.mp4'],SpreadTheSign
kart,kart,kart,['./datasets/spread_the_sign/videos/kart.mp4'],SpreadTheSign
cansado,cansado,cansar,['./datasets/spread_the_sign/videos/cansado.mp4'],SpreadTheSign
tens namorado interrogacao,tens namorado interrogação,tem,['./datasets/spread_the_sign/videos/Tens namorado_interrogacao_.mp4'],SpreadTheSign
olhar de esguelha,olhar de esguelha,olhar,['./datasets/spread_the_sign/videos/olhar de esguelha.mp4'],SpreadTheSign
noz moscada,noz moscada,noz,['./datasets/spread_the_sign/videos/noz-moscada.mp4'],SpreadTheSign
ambulância,ambulância,ambulância,['./datasets/spread_the_sign/videos/ambulância.mp4'],SpreadTheSign
destro,destro,destro,['./datasets/spread_the_sign/videos/destro.mp4'],SpreadTheSign
reflorestamento,reflorestamento,reflorestamento,['./datasets/spread_the_sign/videos/reflorestamento.mp4'],SpreadTheSign
os meus amigos estão a festejar,os meus amigos estão a festejar,o,['./datasets/spread_the_sign/videos/Os meus amigos estão a festejar.mp4'],SpreadTheSign
chave de fendas eléctrica,chave de fendas eléctrica,chave,['./datasets/spread_the_sign/videos/chave de fendas eléctrica.mp4'],SpreadTheSign
avô,avô,avô,['./datasets/spread_the_sign/videos/avô.mp4'],SpreadTheSign
anestesia,anestesia,anestesia,['./datasets/spread_the_sign/videos/anestesia.mp4'],SpreadTheSign
balançar,balançar,balançar,['./datasets/spread_the_sign/videos/balançar.mp4'],SpreadTheSign
perturbar,perturbar,perturbar,['./datasets/spread_the_sign/videos/perturbar.mp4'],SpreadTheSign
proteção solar,proteção solar,proteção,['./datasets/spread_the_sign/videos/proteção solar.mp4'],SpreadTheSign
transparência,transparência,transparência,['./datasets/spread_the_sign/videos/transparência.mp4'],SpreadTheSign
pertencer,pertencer,pertencer,['./datasets/spread_the_sign/videos/pertencer.mp4'],SpreadTheSign
horário escolar,horário escolar,horário,['./datasets/spread_the_sign/videos/horário escolar.mp4'],SpreadTheSign
precipitação,precipitação,precipitação,['./datasets/spread_the_sign/videos/precipitação.mp4'],SpreadTheSign
consciente,consciente,consciente,['./datasets/spread_the_sign/videos/consciente.mp4'],SpreadTheSign
arrogância,arrogância,arrogâncer,['./datasets/spread_the_sign/videos/arrogância.mp4'],SpreadTheSign
veículo,veículo,veículo,['./datasets/spread_the_sign/videos/veículo.mp4'],SpreadTheSign
caixa de ferramentas,caixa de ferramentas,caixa,['./datasets/spread_the_sign/videos/caixa de ferramentas.mp4'],SpreadTheSign
unir,unir,unir,['./datasets/spread_the_sign/videos/unir.mp4'],SpreadTheSign
infantil,infantil,infantil,['./datasets/spread_the_sign/videos/infantil.mp4'],SpreadTheSign
diluir,diluir,diluir,['./datasets/spread_the_sign/videos/diluir.mp4'],SpreadTheSign
farinha,farinha,farinha,['./datasets/spread_the_sign/videos/farinha.mp4'],SpreadTheSign
inglaterra,inglaterra,Inglaterra,['./datasets/spread_the_sign/videos/Inglaterra.mp4'],SpreadTheSign
flauta,flauta,flautar,['./datasets/spread_the_sign/videos/flauta.mp4'],SpreadTheSign
vaso de flores,vaso de flores,vaso,['./datasets/spread_the_sign/videos/vaso de flores.mp4'],SpreadTheSign
bruxa,bruxa,bruxa,['./datasets/spread_the_sign/videos/bruxa.mp4'],SpreadTheSign
bem informado,bem informado,bem,['./datasets/spread_the_sign/videos/bem informado.mp4'],SpreadTheSign
admissão especial,admissão especial,admissão,['./datasets/spread_the_sign/videos/admissão especial.mp4'],SpreadTheSign
distrair,distrair,distrair,['./datasets/spread_the_sign/videos/distrair.mp4'],SpreadTheSign
removedor de maquilagem,removedor de maquilagem,removedor,['./datasets/spread_the_sign/videos/removedor de maquilagem.mp4'],SpreadTheSign
peito de frango,peito de frango,peito,['./datasets/spread_the_sign/videos/peito de frango.mp4'],SpreadTheSign
bar,bar,bar,['./datasets/spread_the_sign/videos/bar.mp4'],SpreadTheSign
ensino pós secundário,ensino pós secundário,ensino,['./datasets/spread_the_sign/videos/Ensino pós-secundário.mp4'],SpreadTheSign
tdd  telecommunications device for the deaf barra  dispositivo de telecomunicações para surdos,tdd telecommunications device for the deaf barra dispositivo de telecomunicações pará surdos,tdd,['./datasets/spread_the_sign/videos/TDD- Telecommunications Device for the Deaf_barra_ Dispositivo de Telecomunicações para Surdos.mp4'],SpreadTheSign
cravo,cravo,cravo,['./datasets/spread_the_sign/videos/cravo.mp4'],SpreadTheSign
simpático,simpático,simpático,['./datasets/spread_the_sign/videos/simpático.mp4'],SpreadTheSign
cuidados continuados,cuidados continuados,cuidado,['./datasets/spread_the_sign/videos/cuidados continuados.mp4'],SpreadTheSign
secador,secador,secador,['./datasets/spread_the_sign/videos/secador.mp4'],SpreadTheSign
mamilo,mamilo,mamilo,['./datasets/spread_the_sign/videos/mamilo.mp4'],SpreadTheSign
internet,internet,Internet,['./datasets/spread_the_sign/videos/internet.mp4'],SpreadTheSign
dependência,dependência,dependência,['./datasets/spread_the_sign/videos/dependência.mp4'],SpreadTheSign
d,d,d,['./datasets/spread_the_sign/videos/3D.mp4'],SpreadTheSign
psicoterapeuta,psicoterapeuta,psicoterapeuta,['./datasets/spread_the_sign/videos/psicoterapeuta.mp4'],SpreadTheSign
evitar,evitar,evitar,['./datasets/spread_the_sign/videos/evitar.mp4'],SpreadTheSign
iniciar,iniciar,iniciar,['./datasets/spread_the_sign/videos/iniciar.mp4'],SpreadTheSign
msn,msn,msn,['./datasets/spread_the_sign/videos/msn.mp4'],SpreadTheSign
geometria,geometria,geometr,['./datasets/spread_the_sign/videos/geometria.mp4'],SpreadTheSign
canteiro de flores,canteiro de flores,canteiro,['./datasets/spread_the_sign/videos/canteiro de flores.mp4'],SpreadTheSign
férias,férias,féria,['./datasets/spread_the_sign/videos/férias.mp4'],SpreadTheSign
cassete de vídeo,cassete de vídeo,cassete,['./datasets/spread_the_sign/videos/cassete de vídeo.mp4'],SpreadTheSign
youtube,youtube,Youtube,['./datasets/spread_the_sign/videos/Youtube.mp4'],SpreadTheSign
lesma,lesma,lesmar,['./datasets/spread_the_sign/videos/lesma.mp4'],SpreadTheSign
4,4,4,['./datasets/spread_the_sign/videos/4.mp4'],SpreadTheSign
touro,touro,touro,['./datasets/spread_the_sign/videos/touro.mp4'],SpreadTheSign
aperitivo,aperitivo,aperitivo,['./datasets/spread_the_sign/videos/Aperitivo.mp4'],SpreadTheSign
manhã,manhã,manhã,['./datasets/spread_the_sign/videos/manhã.mp4'],SpreadTheSign
texto,texto,texto,['./datasets/spread_the_sign/videos/texto.mp4'],SpreadTheSign
blog,blog,blog,['./datasets/spread_the_sign/videos/blog.mp4'],SpreadTheSign
configuração,configuração,configuração,['./datasets/spread_the_sign/videos/configuração.mp4'],SpreadTheSign
java,java,jar,['./datasets/spread_the_sign/videos/java.mp4'],SpreadTheSign
acordar,acordar,acordar,['./datasets/spread_the_sign/videos/acordar.mp4'],SpreadTheSign
refeição,refeição,refeição,['./datasets/spread_the_sign/videos/refeição.mp4'],SpreadTheSign
estacionar,estacionar,estacionar,['./datasets/spread_the_sign/videos/Estacionar.mp4'],SpreadTheSign
escama de peixe,escama de peixe,escamar,['./datasets/spread_the_sign/videos/escama de peixe.mp4'],SpreadTheSign
cópia de segurança,cópia de segurança,cópia,['./datasets/spread_the_sign/videos/Cópia de segurança.mp4'],SpreadTheSign
ir embora,ir embora,ir,['./datasets/spread_the_sign/videos/ir embora.mp4'],SpreadTheSign
tonto,tonto,tonto,['./datasets/spread_the_sign/videos/tonto.mp4'],SpreadTheSign
cam,cam,car,['./datasets/spread_the_sign/videos/CAM.mp4'],SpreadTheSign
choque,choque,choque,['./datasets/spread_the_sign/videos/choque.mp4'],SpreadTheSign
trilho,trilho,trilho,['./datasets/spread_the_sign/videos/trilho.mp4'],SpreadTheSign
horario de verão,horário de verão,horario,['./datasets/spread_the_sign/videos/horario de verão.mp4'],SpreadTheSign
você gosta de ver tv interrogacao,você gosta de ver tv interrogação,você,['./datasets/spread_the_sign/videos/Você gosta de ver TV_interrogacao_.mp4'],SpreadTheSign
assistência pessoal,assistência pessoal,assistência,['./datasets/spread_the_sign/videos/assistência pessoal.mp4'],SpreadTheSign
detergente para louça,detergente pará louça,detergente,['./datasets/spread_the_sign/videos/detergente para louça.mp4'],SpreadTheSign
abaixo,abaixo,abaixo,['./datasets/spread_the_sign/videos/abaixo.mp4'],SpreadTheSign
foto,foto,foto,['./datasets/spread_the_sign/videos/foto.mp4'],SpreadTheSign
áudio,áudio,áudio,['./datasets/spread_the_sign/videos/áudio.mp4'],SpreadTheSign
formação profissionalizante,formação profissionalizante,formação,['./datasets/spread_the_sign/videos/formação profissionalizante.mp4'],SpreadTheSign
broche,broche,Broche,['./datasets/spread_the_sign/videos/Broche.mp4'],SpreadTheSign
ondulação a seco,ondulação a seco,ondulação,['./datasets/spread_the_sign/videos/ondulação a seco.mp4'],SpreadTheSign
calça,calça,calça,['./datasets/spread_the_sign/videos/calça.mp4'],SpreadTheSign
batimento cardíaco,batimento cardíaco,batimento,['./datasets/spread_the_sign/videos/batimento cardíaco.mp4'],SpreadTheSign
"jardineira, balde para plantas","jardineira, balde pará plantas",Jardineira,"['./datasets/spread_the_sign/videos/jardineira, balde para plantas.mp4']",SpreadTheSign
campeão,campeão,campeão,['./datasets/spread_the_sign/videos/campeão.mp4'],SpreadTheSign
ler,ler,ler,['./datasets/spread_the_sign/videos/ler.mp4'],SpreadTheSign
data,data,data,['./datasets/spread_the_sign/videos/data.mp4'],SpreadTheSign
tecido de lã,tecido de lã,tecido,['./datasets/spread_the_sign/videos/tecido de lã.mp4'],SpreadTheSign
salsa,salsa,salso,['./datasets/spread_the_sign/videos/Salsa.mp4'],SpreadTheSign
sapatos,sapatos,sapato,['./datasets/spread_the_sign/videos/sapatos.mp4'],SpreadTheSign
saudável,saudável,saudável,['./datasets/spread_the_sign/videos/saudável.mp4'],SpreadTheSign
bico,bico,bico,['./datasets/spread_the_sign/videos/bico.mp4'],SpreadTheSign
pote para tinta de cabelo,pote pará tinta de cabelo,pote,['./datasets/spread_the_sign/videos/pote para tinta de cabelo.mp4'],SpreadTheSign
tenho febre,tenho febre,ter,['./datasets/spread_the_sign/videos/Tenho febre.mp4'],SpreadTheSign
pressa,pressa,pressa,['./datasets/spread_the_sign/videos/pressa.mp4'],SpreadTheSign
fixar,fixar,fixar,['./datasets/spread_the_sign/videos/fixar.mp4'],SpreadTheSign
alto,alto,alto,['./datasets/spread_the_sign/videos/alto.mp4'],SpreadTheSign
dormir,dormir,dormir,['./datasets/spread_the_sign/videos/dormir.mp4'],SpreadTheSign
rodapé,rodapé,rodapér,['./datasets/spread_the_sign/videos/rodapé.mp4'],SpreadTheSign
pressão,pressão,pressão,['./datasets/spread_the_sign/videos/pressão.mp4'],SpreadTheSign
molho de carne,molho de carne,molho,['./datasets/spread_the_sign/videos/molho de carne.mp4'],SpreadTheSign
paciente,paciente,paciente,['./datasets/spread_the_sign/videos/paciente.mp4'],SpreadTheSign
cobrar,cobrar,cobrar,['./datasets/spread_the_sign/videos/cobrar.mp4'],SpreadTheSign
desenvolvimento pessoal,desenvolvimento pessoal,desenvolvimento,['./datasets/spread_the_sign/videos/desenvolvimento pessoal.mp4'],SpreadTheSign
corvo,corvo,corvo,['./datasets/spread_the_sign/videos/corvo.mp4'],SpreadTheSign
lebre,lebre,Lebre,['./datasets/spread_the_sign/videos/lebre.mp4'],SpreadTheSign
oncologia,oncologia,oncologia,['./datasets/spread_the_sign/videos/oncologia.mp4'],SpreadTheSign
serviço de quartos,serviço de quartos,serviço,['./datasets/spread_the_sign/videos/serviço de quartos.mp4'],SpreadTheSign
outubro,outubro,outubro,['./datasets/spread_the_sign/videos/Outubro.mp4'],SpreadTheSign
etanol,etanol,etanol,['./datasets/spread_the_sign/videos/etanol.mp4'],SpreadTheSign
gel para cabelos lisos,gel pará cabelos lisos,gel,['./datasets/spread_the_sign/videos/gel para cabelos lisos.mp4'],SpreadTheSign
escolaridade obrigatória,escolaridade obrigatória,escolaridade,['./datasets/spread_the_sign/videos/escolaridade obrigatória.mp4'],SpreadTheSign
secar o cabelo,secar o cabelo,secar,['./datasets/spread_the_sign/videos/secar o cabelo.mp4'],SpreadTheSign
continuar,continuar,continuar,['./datasets/spread_the_sign/videos/continuar.mp4'],SpreadTheSign
marcação,marcação,marcação,['./datasets/spread_the_sign/videos/Marcação.mp4'],SpreadTheSign
atraso,atraso,atraso,['./datasets/spread_the_sign/videos/atraso.mp4'],SpreadTheSign
cone,cone,cone,['./datasets/spread_the_sign/videos/cone.mp4'],SpreadTheSign
pervertido,pervertido,perverter,['./datasets/spread_the_sign/videos/pervertido.mp4'],SpreadTheSign
raiz,raiz,Raiz,['./datasets/spread_the_sign/videos/raiz.mp4'],SpreadTheSign
martelar,martelar,martelar,['./datasets/spread_the_sign/videos/martelar.mp4'],SpreadTheSign
assado no forno,assado no forno,assar,['./datasets/spread_the_sign/videos/assado no forno.mp4'],SpreadTheSign
folhagem,folhagem,folhagem,['./datasets/spread_the_sign/videos/folhagem.mp4'],SpreadTheSign
estrutura do telhado,estrutura do telhado,estrutura,['./datasets/spread_the_sign/videos/estrutura do telhado.mp4'],SpreadTheSign
scanner,scanner,scanner,['./datasets/spread_the_sign/videos/scanner.mp4'],SpreadTheSign
geólogo,geólogo,geólogo,['./datasets/spread_the_sign/videos/geólogo.mp4'],SpreadTheSign
sabedoria,sabedoria,sabedoria,['./datasets/spread_the_sign/videos/sabedoria.mp4'],SpreadTheSign
manicure,manicure,manicure,['./datasets/spread_the_sign/videos/manicure.mp4'],SpreadTheSign
website,website,Website,['./datasets/spread_the_sign/videos/Website.mp4'],SpreadTheSign
ginecologia,ginecologia,ginecologia,['./datasets/spread_the_sign/videos/ginecologia.mp4'],SpreadTheSign
pré escola universal,pré escola universal,Pré,['./datasets/spread_the_sign/videos/Pré-escola universal.mp4'],SpreadTheSign
temporário,temporário,temporário,['./datasets/spread_the_sign/videos/Temporário.mp4'],SpreadTheSign
limusine,limusine,limusine,['./datasets/spread_the_sign/videos/Limusine.mp4'],SpreadTheSign
decidir,decidir,decidir,['./datasets/spread_the_sign/videos/decidir.mp4'],SpreadTheSign
ter,ter,ter,['./datasets/spread_the_sign/videos/ter.mp4'],SpreadTheSign
9,9,9,['./datasets/spread_the_sign/videos/9.mp4'],SpreadTheSign
cirurgia maxilofacial,cirurgia maxilofacial,cirurgia,['./datasets/spread_the_sign/videos/cirurgia maxilofacial.mp4'],SpreadTheSign
23,23,23,['./datasets/spread_the_sign/videos/23.mp4'],SpreadTheSign
vampiro,vampiro,vampiro,['./datasets/spread_the_sign/videos/vampiro.mp4'],SpreadTheSign
doença,doença,doença,['./datasets/spread_the_sign/videos/doença.mp4'],SpreadTheSign
abotoadura,abotoadura,abotoadurar,['./datasets/spread_the_sign/videos/abotoadura.mp4'],SpreadTheSign
caderno,caderno,caderno,['./datasets/spread_the_sign/videos/caderno.mp4'],SpreadTheSign
título,título,título,['./datasets/spread_the_sign/videos/título.mp4'],SpreadTheSign
misturar,misturar,misturar,['./datasets/spread_the_sign/videos/misturar.mp4'],SpreadTheSign
oitenta,oitenta,oitenet,['./datasets/spread_the_sign/videos/oitenta.mp4'],SpreadTheSign
furacão,furacão,furacão,['./datasets/spread_the_sign/videos/furacão.mp4'],SpreadTheSign
boa,boa,bom,['./datasets/spread_the_sign/videos/Boa.mp4'],SpreadTheSign
passeio a cavalo,passeio a cavalo,passeio,['./datasets/spread_the_sign/videos/passeio a cavalo.mp4'],SpreadTheSign
descobrir,descobrir,descobrir,['./datasets/spread_the_sign/videos/descobrir.mp4'],SpreadTheSign
prevenção da toxicodependência,prevenção da toxicodependência,prevenção,['./datasets/spread_the_sign/videos/prevenção da toxicodependência.mp4'],SpreadTheSign
cotovelo,cotovelo,cotovor o,['./datasets/spread_the_sign/videos/cotovelo.mp4'],SpreadTheSign
secador de cabelo,secador de cabelo,secador,['./datasets/spread_the_sign/videos/secador de cabelo.mp4'],SpreadTheSign
apresentar,apresentar,apresentar,['./datasets/spread_the_sign/videos/apresentar.mp4'],SpreadTheSign
perverso,perverso,perverso,['./datasets/spread_the_sign/videos/perverso.mp4'],SpreadTheSign
lugar pré reservado,lugar pré reservado,lugar,['./datasets/spread_the_sign/videos/lugar pré-reservado.mp4'],SpreadTheSign
cartão presente,cartão presente,cartão,['./datasets/spread_the_sign/videos/cartão presente.mp4'],SpreadTheSign
filha,filha,filha,['./datasets/spread_the_sign/videos/filha.mp4'],SpreadTheSign
dedicar,dedicar,dedicar,['./datasets/spread_the_sign/videos/dedicar.mp4'],SpreadTheSign
músculo,músculo,músculo,['./datasets/spread_the_sign/videos/músculo.mp4'],SpreadTheSign
tesoura de unhas,tesoura de unhas,tesoura,['./datasets/spread_the_sign/videos/tesoura de unhas.mp4'],SpreadTheSign
mostarda,mostarda,mostardar,['./datasets/spread_the_sign/videos/mostarda.mp4'],SpreadTheSign
cuidado,cuidado,cuidado,['./datasets/spread_the_sign/videos/cuidado.mp4'],SpreadTheSign
universidade,universidade,universidade,['./datasets/spread_the_sign/videos/universidade.mp4'],SpreadTheSign
campainha,campainha,campainha,['./datasets/spread_the_sign/videos/campainha.mp4'],SpreadTheSign
carnaval,carnaval,Carnaval,['./datasets/spread_the_sign/videos/carnaval.mp4'],SpreadTheSign
sangrar,sangrar,sangrar,['./datasets/spread_the_sign/videos/sangrar.mp4'],SpreadTheSign
campeonato europeu de futebol,campeonato europeu de futebol,campeonato,['./datasets/spread_the_sign/videos/campeonato europeu de futebol.mp4'],SpreadTheSign
borboleta,borboleta,borboleta,['./datasets/spread_the_sign/videos/borboleta.mp4'],SpreadTheSign
camisa de dormir,camisa de dormir,camisa,['./datasets/spread_the_sign/videos/camisa de dormir.mp4'],SpreadTheSign
cesto da roupa,cesto da roupa,cesto,['./datasets/spread_the_sign/videos/cesto da roupa.mp4'],SpreadTheSign
aprender,aprender,aprender,['./datasets/spread_the_sign/videos/aprender.mp4'],SpreadTheSign
grêmio estudantil,grêmio estudantil,grêmio,['./datasets/spread_the_sign/videos/grêmio estudantil.mp4'],SpreadTheSign
raio,raio,raio,['./datasets/spread_the_sign/videos/raio.mp4'],SpreadTheSign
férias na praia,férias na praia,féria,['./datasets/spread_the_sign/videos/férias na praia.mp4'],SpreadTheSign
tempos livres,tempos livres,tempo,['./datasets/spread_the_sign/videos/tempos livres.mp4'],SpreadTheSign
amanhã,amanhã,amanhã,['./datasets/spread_the_sign/videos/amanhã.mp4'],SpreadTheSign
40,40,40,['./datasets/spread_the_sign/videos/40.mp4'],SpreadTheSign
tigela do cão,tigela do cão,tigela,['./datasets/spread_the_sign/videos/tigela do cão.mp4'],SpreadTheSign
currículo adaptado,currículo adaptado,currículo,['./datasets/spread_the_sign/videos/currículo adaptado.mp4'],SpreadTheSign
interdisciplinaridade,interdisciplinaridade,interdisciplinaridade,['./datasets/spread_the_sign/videos/interdisciplinaridade.mp4'],SpreadTheSign
voar,voar,voar,['./datasets/spread_the_sign/videos/voar.mp4'],SpreadTheSign
17,17,17,['./datasets/spread_the_sign/videos/17.mp4'],SpreadTheSign
dna,dna,dna,['./datasets/spread_the_sign/videos/DNA.mp4'],SpreadTheSign
estudo e orientação profissional,estudo e orientação profissional,estudo,['./datasets/spread_the_sign/videos/estudo e orientação profissional.mp4'],SpreadTheSign
excesso,excesso,excesso,['./datasets/spread_the_sign/videos/excesso.mp4'],SpreadTheSign
neurologia,neurologia,neurologia,['./datasets/spread_the_sign/videos/neurologia.mp4'],SpreadTheSign
comer,comer,comer,['./datasets/spread_the_sign/videos/comer.mp4'],SpreadTheSign
bater creme,bater creme,bater,['./datasets/spread_the_sign/videos/bater creme.mp4'],SpreadTheSign
esmigalhar,esmigalhar,esmigalhar,['./datasets/spread_the_sign/videos/esmigalhar.mp4'],SpreadTheSign
gel de cabelo,gel de cabelo,gel,['./datasets/spread_the_sign/videos/gel de cabelo.mp4'],SpreadTheSign
decote,decote,decotir,['./datasets/spread_the_sign/videos/decote.mp4'],SpreadTheSign
cessar,cessar,cessar,['./datasets/spread_the_sign/videos/cessar.mp4'],SpreadTheSign
trovão,trovão,trovão,['./datasets/spread_the_sign/videos/trovão.mp4'],SpreadTheSign
américa,américa,américar,['./datasets/spread_the_sign/videos/América.mp4'],SpreadTheSign
atrás,atrás,atrás,['./datasets/spread_the_sign/videos/atrás.mp4'],SpreadTheSign
ficar,ficar,ficar,['./datasets/spread_the_sign/videos/ficar.mp4'],SpreadTheSign
vários,vários,vários,['./datasets/spread_the_sign/videos/vários.mp4'],SpreadTheSign
medir,medir,medir,['./datasets/spread_the_sign/videos/medir.mp4'],SpreadTheSign
gruta,gruta,gruta,['./datasets/spread_the_sign/videos/gruta.mp4'],SpreadTheSign
conjunto de arbustos,conjunto de arbustos,conjunto,['./datasets/spread_the_sign/videos/conjunto de arbustos.mp4'],SpreadTheSign
luz de néon,luz de néon,luz,['./datasets/spread_the_sign/videos/luz de néon.mp4'],SpreadTheSign
trilhão,trilhão,trilhão,['./datasets/spread_the_sign/videos/trilhão.mp4'],SpreadTheSign
cesto,cesto,cesto,['./datasets/spread_the_sign/videos/cesto.mp4'],SpreadTheSign
salto,salto,salto,['./datasets/spread_the_sign/videos/salto.mp4'],SpreadTheSign
sistema operativo,sistema operativo,sistema,['./datasets/spread_the_sign/videos/sistema operativo.mp4'],SpreadTheSign
trigo,trigo,Trigo,['./datasets/spread_the_sign/videos/trigo.mp4'],SpreadTheSign
jaqueta,jaqueta,jaqueta,['./datasets/spread_the_sign/videos/jaqueta.mp4'],SpreadTheSign
nadar,nadar,nadar,['./datasets/spread_the_sign/videos/nadar.mp4'],SpreadTheSign
assar,assar,assar,['./datasets/spread_the_sign/videos/assar.mp4'],SpreadTheSign
jogo simbólico,jogo simbólico,jogo,['./datasets/spread_the_sign/videos/jogo simbólico.mp4'],SpreadTheSign
celular smartphone,celular smartphone,celular,['./datasets/spread_the_sign/videos/celular smartphone.mp4'],SpreadTheSign
